Country,Limiting Magnitude,Coordinates,Longitude_x,Latitude_x,Latitude_y,Longitude_y,Park,Date
United States - Alaska,3,"[32.2251, -110.996]",-110.99600000000001,32.2251,32.2967,-111.167,Saguaro National Park,2014-03-30
United States - Arizona,7,"[36.0717, -112.2]",-112.2,36.0717,36.107,-112.113,Grand Canyon National Park,2015-06-13
United States - Arizona,7,"[36.0723, -112.166]",-112.166,36.0723,36.107,-112.113,Grand Canyon National Park,2015-06-15
United States - Arizona,7,"[36.0721, -112.148]",-112.148,36.0721,36.107,-112.113,Grand Canyon National Park,2015-06-15
United States - Arizona,7,"[36.0664, -112.146]",-112.146,36.0664,36.107,-112.113,Grand Canyon National Park,2015-06-15
United States - Arizona,7,"[36.0619, -112.147]",-112.147,36.0619,36.107,-112.113,Grand Canyon National Park,2015-06-15
United States - Arizona,7,"[36.0443, -111.826]",-111.82600000000001,36.0443,36.107,-112.113,Grand Canyon National Park,2015-06-16
United States - Arizona,7,"[36.0132, -111.867]",-111.867,36.0132,36.107,-112.113,Grand Canyon National Park,2015-06-16
United States - Arizona,7,"[36.0534, -112.084]",-112.084,36.0534,36.107,-112.113,Grand Canyon National Park,2015-06-16
United States - Arizona,7,"[31.8853, -110.94]",-110.94,31.8853,32.2967,-111.167,Saguaro National Park,2015-06-20
United States - Arizona,7,"[32.1999, -111.03]",-111.03,32.1999,32.2967,-111.167,Saguaro National Park,2014-04-27
United States - Arizona,7,"[32.2629, -110.966]",-110.96600000000001,32.2629,32.2967,-111.167,Saguaro National Park,2009-03-25
United States - Arizona,7,"[32.4025, -111.002]",-111.00200000000001,32.4025,32.2967,-111.167,Saguaro National Park,2007-03-14
United States - Arizona,7,"[32.434, -111.012]",-111.012,32.434,32.2967,-111.167,Saguaro National Park,2006-03-27
United States - Arizona,7,"[32.4497, -111.014]",-111.014,32.4497,32.2967,-111.167,Saguaro National Park,2009-03-27
United States - Arizona,7,"[32.4584, -111.095]",-111.095,32.4584,32.2967,-111.167,Saguaro National Park,2009-03-28
United States - Arizona,7,"[32.2406, -111.023]",-111.023,32.2406,32.2967,-111.167,Saguaro National Park,2008-02-25
United States - Arizona,7,"[32.225, -110.928]",-110.928,32.225,32.2967,-111.167,Saguaro National Park,2006-03-28
United States - Arizona,7,"[32.176, -110.806]",-110.806,32.176,32.2967,-111.167,Saguaro National Park,2006-03-28
United States - Arizona,7,"[32.313, -111.248]",-111.24799999999999,32.313,32.2967,-111.167,Saguaro National Park,2006-03-28
United States - Arizona,7,"[32.24, -111.23]",-111.23,32.24,32.2967,-111.167,Saguaro National Park,2007-03-30
United States - Arizona,7,"[32.2859, -110.861]",-110.861,32.2859,32.2967,-111.167,Saguaro National Park,2008-03-06
United States - Arizona,7,"[32.2243, -110.969]",-110.969,32.2243,32.2967,-111.167,Saguaro National Park,2008-03-07
United States - Arizona,7,"[32.0439, -111.225]",-111.225,32.0439,32.2967,-111.167,Saguaro National Park,2008-02-27
United States - Arizona,7,"[32.3313, -111.232]",-111.23200000000001,32.3313,32.2967,-111.167,Saguaro National Park,2009-03-24
United States - Arizona,7,"[32.2431, -111.226]",-111.226,32.2431,32.2967,-111.167,Saguaro National Park,2009-03-24
United States - Arizona,7,"[32.2725, -110.968]",-110.96799999999999,32.2725,32.2967,-111.167,Saguaro National Park,2009-03-29
United States - Arizona,7,"[32.3436, -111.187]",-111.18700000000001,32.3436,32.2967,-111.167,Saguaro National Park,2008-03-03
United States - Arizona,7,"[32.0646, -110.773]",-110.773,32.0646,32.2967,-111.167,Saguaro National Park,2010-03-16
United States - Arizona,7,"[32.1865, -110.846]",-110.846,32.1865,32.2967,-111.167,Saguaro National Park,2010-03-15
United States - Arizona,7,"[32.2443, -110.822]",-110.822,32.2443,32.2967,-111.167,Saguaro National Park,2010-03-15
United States - Arizona,7,"[32.2043, -111.171]",-111.171,32.2043,32.2967,-111.167,Saguaro National Park,2010-03-17
United States - Arizona,7,"[31.9639, -111.6]",-111.6,31.9639,32.2967,-111.167,Saguaro National Park,2010-03-12
United States - Arizona,7,"[36.0716, -112.146]",-112.146,36.0716,36.107,-112.113,Grand Canyon National Park,2013-03-12
United States - Arizona,7,"[31.8907, -110.95]",-110.95,31.8907,32.2967,-111.167,Saguaro National Park,2010-03-06
United States - Arizona,7,"[32.2235, -110.99]",-110.99,32.2235,32.2967,-111.167,Saguaro National Park,2010-03-03
United States - Arizona,7,"[32.4175, -110.937]",-110.93700000000001,32.4175,32.2967,-111.167,Saguaro National Park,2010-03-03
United States - Arizona,7,"[32.2575, -111.071]",-111.071,32.2575,32.2967,-111.167,Saguaro National Park,2010-03-04
United States - Arizona,7,"[32.3949, -111.024]",-111.024,32.3949,32.2967,-111.167,Saguaro National Park,2012-02-21
United States - Arizona,7,"[32.2106, -110.883]",-110.883,32.2106,32.2967,-111.167,Saguaro National Park,2013-04-03
United States - Arizona,7,"[32.2353, -110.824]",-110.824,32.2353,32.2967,-111.167,Saguaro National Park,2013-04-08
United States - Arizona,7,"[32.2614, -110.978]",-110.978,32.2614,32.2967,-111.167,Saguaro National Park,2010-03-12
United States - Arizona,7,"[32.2575, -111.071]",-111.071,32.2575,32.2967,-111.167,Saguaro National Park,2010-03-06
United States - Arizona,7,"[32.1156, -111.113]",-111.113,32.1156,32.2967,-111.167,Saguaro National Park,2013-02-06
United States - Arizona,7,"[32.2751, -110.927]",-110.927,32.2751,32.2967,-111.167,Saguaro National Park,2012-04-20
United States - Arizona,7,"[32.0422, -110.745]",-110.745,32.0422,32.2967,-111.167,Saguaro National Park,2009-03-28
United States - Arizona,7,"[32.2557, -110.877]",-110.87700000000001,32.2557,32.2967,-111.167,Saguaro National Park,2009-03-26
United States - Arizona,7,"[32.1578, -111.023]",-111.023,32.1578,32.2967,-111.167,Saguaro National Park,2012-04-19
