Date,Acadia National Park,Arches National Park,Badlands National Park,Big Bend National Park,Biscayne National Park,Black Canyon of the Gunnison National Park,Bryce Canyon National Park,Canyonlands National Park,Capitol Reef National Park,Carlsbad Caverns National Park,Channel Islands National Park,Congaree National Park,Cuyahoga Valley National Park,Death Valley National Park,Dry Tortugas National Park,Everglades,Glacier National Park,Grand Canyon National Park,Grand Teton,Great Basin National Park,Great Sand Dunes National Park and Preserve,Great Smoky Mountains National Park,Guadalupe Peak,Haleakalā,Hawaiʻi Volcanoes National Park,Hot Springs National Park,Indiana Dunes National Park,Joshua Tree National Park,Kings Canyon National Park,Lassen Volcanic National Park,Mammoth Cave,Mesa Verde National Park,Mount Rainier National Park,Museum at the Gateway Arch,Olympic National Park,Petrified Forest National Park,Pinnacles National Park,Redwood National and State Parks,Rocky Mountain National Park,Saguaro National Park,Sequoia & Kings Canyon National Parks,Shenandoah National Park,Theodore Roosevelt National Park,Voyageurs National Park,White Sands National Park,Wind Cave National Park,Yosemite National Park,Zion National Park
2006-04-01,3.8518518518518516,,,,2.0,,,,,,,3.7899621212121213,4.0,,,2.0,,,,,,,,,,,3.0,2.5,,,,7.0,,3.4583333333333335,,,,5.0,3.638888888888889,4.2638343153353295,4.0,4.0,,,,,,3.0
2007-04-01,6.25,,,7.0,3.0,,7.0,,,3.0,,3.5,3.0517460317460317,5.5,,3.0,,,,,6.428571428571429,,,5.0,5.6,,4.25,7.0,,,4.0,6.0,,2.8075980392156863,5.0,,,,5.1,4.307794355014607,3.0,3.94,,,3.0,5.0,,
2008-03-01,6.0,5.0,,,5.0,7.0,,5.0,,,4.0,,1.7878787878787878,5.5,,3.0,,,,6.0,,,,5.0,3.0,,,5.0,,,,5.0,3.0,3.583333333333333,,,,,4.0,3.861863354037267,,5.0,,,,,5.0,7.0
2008-04-01,6.166666666666667,3.3333333333333335,,,,6.0,,3.0,,,,4.0,1.7666666666666668,,,3.0,,6.0,7.0,,,4.9,,,,,,,4.333333333333333,,,,,3.0,,,,,4.05,3.7993205337637823,4.333333333333333,4.0,,,,,,
2009-04-01,7.0,6.0,,,3.0,7.0,2.0,,,,3.0,1.0,3.7452380952380957,6.0,,4.583333333333334,,5.0,,,5.0,3.8666666666666663,,5.0,6.5,,3.8666666666666667,5.75,,,3.4166666666666665,,,3.4915674603174605,4.0,,,4.5,3.8,4.287367466232598,,3.8814814814814813,,,4.0,,,3.0
2009-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,
2010-04-01,5.328042328042328,,,,3.138888888888889,5.0,5.0,,,2.0,4.0,3.5,2.4484848484848487,6.0,,2.8333333333333335,,6.0,5.0,,5.166666666666667,3.0,4.5,7.0,6.0,5.0,2.6,6.0,,,,5.0,3.6666666666666665,3.2212121212121216,6.0,7.0,4.0,3.0,3.986607142857143,4.0020680577064445,,6.0,,,3.5,,,3.0
2011-03-01,,,,,3.266666666666667,,,,,,1.0,1.0,3.2125,,,3.1666666666666665,,,,,,5.0,,,1.0,,3.75,3.0,,,,,,3.1095238095238096,,,,,4.166666666666667,3.9056280030329,3.8000000000000003,4.0,,,,,,
2011-04-01,,,,,3.0,,,6.0,,,4.0,,2.609232923938806,,,2.388888888888889,,,,,,,,6.0,,5.0,4.5,,4.5,,2.0,5.0,3.0,3.0416666666666665,,,5.0,,4.0,3.318549016830817,2.777777777777778,4.0,,,,,,
2011-05-01,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,2.6,,,,,4.0,2.9400287356321835,,5.0,,,,,,
2011-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.436231884057971,,,,,,,,
2012-02-01,,,,,4.0,,,,,,,4.666666666666667,4.5,,,3.0,,,,,,5.0,,,7.0,,,,,,,,4.0,2.5,,,,,3.0,3.897970779220779,,,,,,,,
2012-03-01,,,,,2.5,,,,,,,3.8,3.5,6.0,,2.75,,,,,,6.0,,3.25,,,,2.5,,,,,,3.0095238095238095,,3.0,,,,3.576866279238666,,2.0,,,,,,
2012-04-01,,,,,,,,,,,,2.5,3.5,,,2.0,,,,,,3.5,,5.0,,,,,,,,,,3.5,,,,,3.2962962962962963,3.6343165844915846,,5.0,,,,,,
2012-05-01,,,,,,,,,,,,2.6666666666666665,2.9049386789858658,,,,,,,,,6.0,,,,,,,,,,,2.0,3.5,,,,,5.0,3.4488687782805436,5.0,3.0,,,,,,
2013-02-01,,,,,,,,,,,5.0,2.5555555555555554,4.0,,,,,,,6.0,,5.0,,,6.0,,,3.0,,,,,,3.111111111111111,,,,,3.3333333333333335,4.2990079365079366,,4.5,,,,,,
2013-03-01,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,3.35,,,,,,3.476564495530013,,,,,,,,
2013-04-01,4.777777777777778,,,,4.5,5.0,,,,,,1.0,2.2692708333333336,,,4.5,,7.0,,,,5.0,,6.0,,6.0,,,,,,,,3.6296296296296298,,,,,4.5,3.4009327025631375,,,,,,,5.190476190476191,
2013-05-01,,,,,1.0,,,,,,,,,,,1.0,,,,,5.0,5.0,,6.0,,,,7.0,,,,,,2.625,,,,,2.4285714285714284,2.9463205746769887,,,,,,,,
2013-06-01,7.0,,,,2.75,,,,,,,2.0,3.0,,,3.016666666666667,,,,,,5.0,,,,,2.0,,,,,,4.0,2.5266666666666664,,,,,2.0,3.7108333333333334,,3.0,,,,,,
2013-07-01,,,,,,,,,,,,,6.0,,,2.0,,,,,,,,,,,,,,,,,,4.0,,,6.0,,2.0,6.0,,,,,,,,
2013-08-01,6.5,5.5,,,,,,5.5,,,,1.0,4.666666666666667,,,2.5,5.5,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-01,,7.0,,,,,,7.0,,,,,,,,4.5,5.666666666666667,,,,,,,,,,,,,,,,,3.25,,,,5.5,,5.0,,,,,,,,
2013-10-01,,6.0,,,3.0,,,6.0,,,,,6.0,,,3.0,,,,,,,,,,,,,,,,,,6.0,,,7.0,6.0,5.0,5.333333333333333,,,,,,,,
2013-11-01,,,,,3.3333333333333335,,,,,,,,3.5,,,3.3333333333333335,,,,,,,,,,,,,,,,,,,,,7.0,,,5.0,,,,,6.5,,,
2013-12-01,,,,,3.25,,,,,,,,,,,2.625,,,,,,,,,,,,,,,,,,,,,7.0,,,5.5,,,,,,,,
2014-01-01,,,,,,,,,,,,,,,,,,,,,,1.0,,6.0,,,,,,,,,,,,,,,,5.0,,5.0,,,,,,
2014-02-01,,,,,3.0,,,,,,3.0,,3.0,,,2.625,,,5.0,,,4.0,,,6.0,,,,,,,,,1.0,6.0,,,6.0,5.0,3.727708568510455,,,,,,,,
2014-03-01,,,,7.0,,,,,,,,2.0,,,,3.5,,,,,,5.0,,,,,3.0,,,,,,,3.5,,,,,,4.466666666666667,,4.611111111111111,,,,,,
2014-04-01,,,,,,,,4.5,,,,,3.6666666666666665,4.0,,2.0,,,,,,,,3.0,,,,5.0,,,4.0,,,4.0,,,5.0,,2.0,3.594034059799883,,,,,6.0,,,
2014-05-01,,3.0,,,,,,,,,,,4.0,,,3.272727272727273,,6.0,,,,,,,,,,,,,,,,,,,,,,3.2073489136297018,,,,,,,,
2014-06-01,,,,,,,,,,,,,1.969387755102041,,,,,6.0,,,,,,,,,5.0,,,,2.0,,,1.0,,,6.0,,6.5,4.954545454545454,,,,,,4.0,,5.0
2014-07-01,,,,,,,,,,,,,,,,,,,6.0,,,3.0,,,,,,,,,,,,,,,,,,4.0148809523809526,,,,,,,,
2014-08-01,,,,,,,,,,,,,,,,,4.333333333333333,6.0,4.904761904761905,,,,,,,,,,,,,,,,,,,,,4.15,,,,,,,5.0,
2014-09-01,,,,,,,,,,,,4.0,,,,5.0,4.75,,,,,,,,,,5.0,,,,,,,,,,,,,4.925,,,,,,,6.0,
2014-10-01,6.083333333333333,,,,,,,,,,5.5,3.0,,,,3.0,,6.0,,,6.0,,,,4.5,,,,,6.0,,,,3.0,,,,,5.0,4.027777777777778,,,,,,,,
2014-11-01,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,3.5833333333333335,,,,,,,,
2014-12-01,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.733333333333333,,3.4,,,,,,5.0
2015-01-01,,,,,4.833333333333334,,,,,,,,,,,4.833333333333334,,,,,,,,4.5,,,,,,,,,,,,,,,,4.023809523809524,,6.0,,,,,,
2015-02-01,,6.0,,,3.0,,,6.0,,,,,,,,3.0,,,,,,,,4.0,5.0,5.55,,,,,,,,,,,,,6.0,4.229166666666666,,,,,,,,
2015-03-01,,,,,3.2,,,,,,,2.0,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,3.2692827657378745,,,,,,,,
2015-04-01,,,,,2.75,6.5,,,,,,,4.0,,,2.75,,,6.0,,,,,,,,,,,,,,,3.0,,,,,1.0,3.7094017094017095,,,,,,,,
2015-05-01,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,5.0,,,,,,,3.0,,,4.0,,3.0,3.5666666666666673,,,,,,,5.5,4.0
2015-06-01,5.0,,,,2.0,,,5.0,,,,,3.25,,,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,,3.357142857142857,,,,,,,,
2015-07-01,,4.5,,,,,,,,,5.5,,,,,,,6.541666666666667,4.0,,,,,,,,5.666666666666667,5.5,4.0,,,,,,,,,,,5.85374149659864,4.0,,,,,,,
2015-08-01,,,,6.0,5.0,,,,,3.0,5.0,,,,,5.0,,5.2,4.0,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,
2015-09-01,6.0,,,,3.0,,,,,1.0,5.0,,,,,3.0,,,,,,,1.0,,6.0,,,,,,,,,3.5,,,,,,5.5,,6.0,,,,,4.857142857142857,
2015-10-01,,5.5,,,4.0,,,5.5,,,5.0,,,,,5.0,,5.25,,6.0,,,,,,,3.0,5.0,,,3.0,,,3.9166666666666665,,,,,,4.888888888888889,,,6.0,6.0,,,6.0,
2015-11-01,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,3.0,,,,,,,4.6,,,,,,4.75,,,,,,,,
2015-12-01,,,,,,,,,,,2.0,,,,,,,,,,,5.0,,,,,,,,,,,,4.5,,,,,,5.375,,,,,,,,
2016-01-01,,,,,3.0,,,,,,3.0,,2.1,,,3.0,,,,,,,,,,,,,,,,,,3.0,,,,,,4.125,,,,,,,,
2016-02-01,,,,,,,,,,,,,3.5,,,3.0,,,,,,,,,,,,,,,,5.0,,,,,,,2.0,4.666666666666667,,,,,,,,
2016-03-01,,,,,1.0,,,,,,,,3.25,,,1.0,,,,,,3.875,,,,,4.0,,5.0,,,5.0,,1.0,,,,,3.030220093577597,5.0,,,,,,,,
2016-04-01,,,,,2.0,,,,,,,,2.0952380952380953,,,2.0,,,,,,,,,,,,,,,,,,,,,,,3.1606227718360076,3.0,,,,,,,,
2016-05-01,,,,,,,,,,,,4.0,2.0,,,,,,6.0,,,,,,,,,,,,,5.607142857142858,,,,,,,3.1406132038569106,4.0,,,,,,,,
2016-06-01,,,,,,,,,,,,,2.433333333333333,,,,5.0,,,,,,,,,,5.0,,,,,,,,,,,,,3.3666666666666667,,,,,,,,
2016-07-01,,,,,,6.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,
2016-08-01,4.0,5.0,,,,,,,6.0,,,,5.0,,,2.0,,,,,,,,,,,5.0,6.0,6.0,,,,,6.0,,,,,,5.0,6.0,,,,,,,5.0
2016-09-01,,,,,,,,,,,,,3.7916666666666665,,,2.0,,,,,,,,6.0,,,,5.5,,,,,,3.0,,,,,3.8333333333333335,2.5,,,,,,,,
2016-10-01,,,,,4.0,,,,,,,,3.6666666666666665,,,4.0,,,,,,,,,7.0,,,,,,,,,3.3333333333333335,,,,,4.9,3.489534971416504,,,,,,,,
2017-02-01,,,,,,4.0,,,,,,,3.0,,,,,,,,2.0,,,,,,,,,,,,,4.0,,,,,5.0,3.690205627705627,,,,,,,,
2017-03-01,,,,,4.0,,,,,,,5.0,3.416666666666667,,,3.5,,,,,,,,,,,6.0,,,,,,,3.0,,,,,3.579967612044818,3.674242424242424,,,,,,,,
2017-04-01,,5.0,,,,,,5.0,,,,,2.4444444444444446,,6.0,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,3.6666666666666665,,,,,,,,
