latitude,longitude,date_local,aqi,local_site_name,site_address,state,county,city
41.975804,-70.023598,2019-01-15,34.0,TRURO NATIONAL SEASHORE,FOX BOTTOM AREA,Massachusetts,Barnstable,Truro
43.561043,-70.207324,2019-01-15,31.0,CETL - Cape Elizabeth Two Lights (State Park),"TWO LIGHTS STATE PARK, Near the Obsevation Tower",Maine,Cumberland,Not in a city
42.3295,-71.0826,2019-01-15,26.0,DUDLEY SQUARE ROXBURY,HARRISON AVE,Massachusetts,Suffolk,Boston
41.685707,-71.169235,2019-01-15,25.0,FALL RIVER,659 GLOBE ST,Massachusetts,Bristol,Fall River
44.37705,-68.2609,2019-01-15,32.0,MCFARLAND HILL Air Pollutant Research Site,567 Eagle Lake Road,Maine,Hancock,Not in a city
42.770837,-71.10229,2019-01-15,31.0,CONSENTINO SCHOOL.,685 WASHINGTON STREET,Massachusetts,Essex,Haverhill
42.211774,-71.11397,2019-01-15,30.0,BLUE HILL OBSERVATORY,695 HILLSIDE ST Blue Hill Observatory,Massachusetts,Norfolk,Milton
43.075371,-70.748017,2019-01-15,25.0,PORTSMOUTH - PEIRCE ISLAND,"PORTSMOUTH, PEIRCE ISLAND",New Hampshire,Rockingham,Portsmouth
46.696431,-68.033006,2019-01-15,25.0,MICMAC HEALTH DEPARTMENT,"8 NORTHERN ROAD, PRESQUE ISLE, ME 04769",Maine,Aroostook,Presque Isle
41.330469,-70.785225,2019-01-15,31.0,"1 HERRING CREEK RD, AQUINNAH (WAMPANOAG TRIBAL SITE)","1 HERRING CREEK RD, AQUINNAH(WAMPANOAG TRIBAL SITE)",Massachusetts,Dukes,Aquinnah
43.660246,-70.268965,2019-01-15,27.0,PDO - Portland Deering Oaks,"356 State Street, Portland,  Maine",Maine,Cumberland,Portland
42.474642,-70.970816,2019-01-15,32.0,LYNN WATER TREATMENT PLANT,390 PARKLAND,Massachusetts,Essex,Lynn
44.963633,-67.060728,2019-01-15,30.0,,184 COUNTY ROAD,Maine,Washington,Not in a city
46.6041,-68.4135,2019-01-15,29.0,Ashland,"45 Radar Rd, Ashland, ME 04732",Maine,Aroostook,Not in a city
41.645381,-70.897504,2019-01-15,29.0,FAIRHAVEN2,30 SCHOOL ST - HASTINGS MIDDLE SCHOOL,Massachusetts,Bristol,Fairhaven (Town of)
42.065106,-71.012129,2019-01-15,27.0,Brockton Buckley,170 Clinton Street(Buckley),Massachusetts,Plymouth,Brockton
36.742227,-107.977567,2019-01-15,32.0,1ZB Bloomfield,"2200 N 1st Street, Bloomfield, NM",New Mexico,San Juan,Bloomfield
41.373097,-111.042376,2019-01-15,39.0,Murphy Ridge,Murphy Ridge LOCATED NEAR WYOMING UTAH BORDER,Wyoming,Uinta,Not in a city
37.1984,-108.49046,2019-01-15,40.0,Mesa Verde NP - Resource Management Area,"MESA VERDE NATIONAL PARK, COLORADO",Colorado,Montezuma,Not in a city
40.736389,-111.872222,2019-01-15,14.0,Hawthorne,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City
38.45832,-109.82126,2019-01-15,29.0,Canyonlands NP - Island in the Sky,"CANYONLANDS NATIONAL PARK, UTAH",Utah,San Juan,Not in a city
41.206321,-111.975524,2019-01-15,21.0,Ogden,"228 32ND STREET, OGDEN, UTAH",Utah,Weber,Ogden
41.303614,-111.987871,2019-01-15,19.0,Harrisville,"425 W 2550 NORTH, OGDEN, UTAH",Utah,Weber,Harrisville
