Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info
"coral bay,U.S.VirginIslands",01/01/2015,74.8,85.3,79.6,72,78.23,91.7,13.6,,100.79,,0,0,,8.6,36,1019.6,"",18.34469,-64.71649,"Coral Bay, US Virgin Islands","",""
"coral bay,U.S.VirginIslands",01/02/2015,75.8,85.9,80.1,71.2,74.8,92.6,15,31.1,88.42,,0,0,,8.5,40.9,1020.6,"",18.34469,-64.71649,"Coral Bay, US Virgin Islands","",""
"coral bay,U.S.VirginIslands",01/03/2015,76.3,86.1,80,69.3,70.26,92.4,19.1,29.8,84.12,,0,12.5,,8.5,55.5,1020.4,"Light Rain",18.34469,-64.71649,"Coral Bay, US Virgin Islands","",""
"coral bay,U.S.VirginIslands",01/04/2015,75,86,79.7,69.1,70.52,89.6,18.8,33.3,84.62,,0,29.17,,8.6,54.1,1021,"Mist, Precipitation In Vicinity, Light Rain",18.34469,-64.71649,"Coral Bay, US Virgin Islands","",""
"coral bay,U.S.VirginIslands",01/05/2015,75.5,85.1,78.9,69.4,73.02,90.4,18.5,,85.83,,0.1,4.17,,8.4,30.3,1021.4,"Precipitation In Vicinity, Light Rain, Smoke Or Haze",18.34469,-64.71649,"Coral Bay, US Virgin Islands","",""
"coral bay,U.S.VirginIslands",01/06/2015,74,84.7,78.1,69.8,76.06,89.3,15.8,,84.29,,0,8.33,,8.6,37.5,1020.2,"Light Rain",18.34469,-64.71649,"Coral Bay, US Virgin Islands","",""
"coral bay,U.S.VirginIslands",01/07/2015,74,83.8,78.4,69.2,73.84,88.3,15.8,,100.04,,0,0,,8.6,36.3,1017.9,"",18.34469,-64.71649,"Coral Bay, US Virgin Islands","",""
"coral bay,U.S.VirginIslands",01/08/2015,73,83.8,77.9,69.4,75.72,88.7,12.8,,98.5,,0,4.17,,8.6,28.3,1017.7,"Light Rain",18.34469,-64.71649,"Coral Bay, US Virgin Islands","",""
"coral bay,U.S.VirginIslands",01/09/2015,72.7,83.8,77.1,70.2,79.72,89.2,11.1,,83.17,,0,4.17,,8.6,36.3,1018.2,"Light Rain",18.34469,-64.71649,"Coral Bay, US Virgin Islands","",""
"coral bay,U.S.VirginIslands",01/10/2015,73,84.9,78.9,71.5,78.7,91.8,13.8,,99.83,,0,0,,8.5,33,1019.2,"",18.34469,-64.71649,"Coral Bay, US Virgin Islands","",""
"coral bay,U.S.VirginIslands",01/11/2015,73.9,84.9,78.1,71.7,81.28,91.1,15.8,,83.5,,0.1,20.83,,8.4,35,1019.2,"Mist, Precipitation In Vicinity, Heavy Rain, Light Rain",18.34469,-64.71649,"Coral Bay, US Virgin Islands","",""
"coral bay,U.S.VirginIslands",01/12/2015,73.5,83.6,78,70.9,79.34,88.6,21.6,,102.54,,0.3,37.5,,8.2,45.5,1018.6,"Mist, Rain, Light Rain",18.34469,-64.71649,"Coral Bay, US Virgin Islands","",""
"coral bay,U.S.VirginIslands",01/13/2015,73.4,82.4,77.7,70.3,78.21,88.2,20.1,,106.33,,0.1,12.5,,8.7,42.7,1017.7,"Precipitation In Vicinity, Rain, Rain Showers, Light Rain",18.34469,-64.71649,"Coral Bay, US Virgin Islands","",""
"coral bay,U.S.VirginIslands",01/14/2015,73.4,84.2,78,71.2,80.03,90.2,16.6,,106.88,,0,8.33,,8.7,29.3,1016.3,"Light Rain",18.34469,-64.71649,"Coral Bay, US Virgin Islands","",""
"coral bay,U.S.VirginIslands",01/15/2015,74.3,83.8,78.6,70.7,77.04,89.2,15.3,,111.5,,0,0,,8.7,29.4,1016.5,"",18.34469,-64.71649,"Coral Bay, US Virgin Islands","",""
"coral bay,U.S.VirginIslands",01/16/2015,74.7,83.5,78.6,71.8,79.93,89.9,12.7,,129.83,,0,4.17,,8.7,36.2,1015.8,"",18.34469,-64.71649,"Coral Bay, US Virgin Islands","",""
"coral bay,U.S.VirginIslands",01/17/2015,73.1,83,77.6,72.3,84.05,89.1,6.8,,172.82,,0,8.33,,8.8,41.5,1015.6,"Light Rain",18.34469,-64.71649,"Coral Bay, US Virgin Islands","",""
"coral bay,U.S.VirginIslands",01/18/2015,72.2,80.5,76.1,71.7,86.58,84.4,12.5,,145.43,,0.4,12.5,,8.6,68.2,1016.1,"Precipitation In Vicinity, Light Rain",18.34469,-64.71649,"Coral Bay, US Virgin Islands","",""
"coral bay,U.S.VirginIslands",01/19/2015,69.3,81.6,75.3,71.1,87.35,87,9.6,,216,,0,4.17,,8.5,37.6,1015.5,"Rain Showers, Light Rain",18.34469,-64.71649,"Coral Bay, US Virgin Islands","",""
"coral bay,U.S.VirginIslands",01/20/2015,71.2,80.4,76,69.5,80.84,84.2,13.7,,121.46,,0,0,,9.2,29.2,1015.3,"",18.34469,-64.71649,"Coral Bay, US Virgin Islands","",""
"coral bay,U.S.VirginIslands",01/21/2015,70.9,84.5,77,70.5,81.28,89.2,10.6,,97.96,,0,0,,8.6,22.5,1015.4,"Light Rain",18.34469,-64.71649,"Coral Bay, US Virgin Islands","",""
"coral bay,U.S.VirginIslands",01/22/2015,72.6,83.8,77.5,72.2,84.22,90.6,7.9,,182.71,,0,4.17,,8.6,26.2,1016.1,"",18.34469,-64.71649,"Coral Bay, US Virgin Islands","",""
"coral bay,U.S.VirginIslands",01/23/2015,70.3,83.1,76.4,72.2,87.22,89.2,10.6,,155.17,,0.2,12.5,,8.7,40.3,1016.3,"Light Rain",18.34469,-64.71649,"Coral Bay, US Virgin Islands","",""
"coral bay,U.S.VirginIslands",01/24/2015,71.4,82.5,77,71.2,83.22,87,11.6,,103.46,,0.1,12.5,,8.5,45.4,1016.5,"Mist, Precipitation In Vicinity, Light Rain",18.34469,-64.71649,"Coral Bay, US Virgin Islands","",""
"coral bay,U.S.VirginIslands",01/25/2015,71.8,83.5,77.7,70.6,79.2,88.8,12.7,,101.54,,0,8.33,,8.7,32.3,1016.3,"Light Rain",18.34469,-64.71649,"Coral Bay, US Virgin Islands","",""
"coral bay,U.S.VirginIslands",01/26/2015,74.1,83.8,78.8,70.6,76.2,89.4,14.2,,107.29,,0,0,,8.7,31.2,1015.8,"Precipitation In Vicinity",18.34469,-64.71649,"Coral Bay, US Virgin Islands","",""
"coral bay,U.S.VirginIslands",01/27/2015,77.2,83.8,80,71.1,74.29,89.7,14.4,,133.04,,0,0,,8.6,32.6,1016,"",18.34469,-64.71649,"Coral Bay, US Virgin Islands","",""
"coral bay,U.S.VirginIslands",01/28/2015,73.9,82.8,78.8,70.8,76.66,88.2,12.7,32.2,114.33,,0,0,,8.7,34.1,1015.7,"",18.34469,-64.71649,"Coral Bay, US Virgin Islands","",""
"coral bay,U.S.VirginIslands",01/29/2015,74,83.9,78.3,70.1,76.65,88.8,12.9,,93.96,,0,0,,8.8,30.6,1015.6,"",18.34469,-64.71649,"Coral Bay, US Virgin Islands","",""
"coral bay,U.S.VirginIslands",01/30/2015,73.5,84.5,77.7,70.2,78.32,89.1,8,,79.75,,0,4.17,,8.4,40.1,1015.4,"Precipitation In Vicinity, Light Rain",18.34469,-64.71649,"Coral Bay, US Virgin Islands","",""
"coral bay,U.S.VirginIslands",01/31/2015,72.7,84.4,78,70.3,77.78,90.1,10.8,,77,,0,12.5,,8.7,30.4,1015.8,"",18.34469,-64.71649,"Coral Bay, US Virgin Islands","",""
"coral bay,U.S.VirginIslands",02/01/2015,74.8,84.7,78.6,67.7,69.72,88.7,18.8,,54.67,,0,0,,8.5,37.7,1017.9,"Light Rain",18.34469,-64.71649,"Coral Bay, US Virgin Islands","",""
"coral bay,U.S.VirginIslands",02/02/2015,75.2,85.6,79.3,67.5,67.9,89.2,21,,79.92,,0,0,,8.6,37.9,1018,"Light Rain",18.34469,-64.71649,"Coral Bay, US Virgin Islands","",""
"coral bay,U.S.VirginIslands",02/03/2015,73,83.9,78.4,71.5,79.69,90,12.1,,96.96,,0,0,,8.4,27.1,1018.3,"Light Rain",18.34469,-64.71649,"Coral Bay, US Virgin Islands","",""
"coral bay,U.S.VirginIslands",02/04/2015,73.1,85,78.8,71.3,78.59,91.1,12.6,,87.29,,0,4.17,,8.4,27.3,1017.2,"",18.34469,-64.71649,"Coral Bay, US Virgin Islands","",""
"coral bay,U.S.VirginIslands",02/05/2015,73.9,83.6,78.2,69.6,75.49,87.7,16.4,,95.67,,0,0,,8.7,24.7,1016.1,"",18.34469,-64.71649,"Coral Bay, US Virgin Islands","",""
