Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info
"thunder bay,Michigan",01/01/2015,1.5,18.1,11.5,0.9,62.27,,28.6,47.2,295.21,-19.5,0,0,,9.9,1.3,1008,"",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",01/02/2015,-4.4,9.9,1.7,-4.6,74.14,,19.2,34.4,230.17,-22.8,0,0,,9.9,4,1022.1,"Light Snow",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",01/03/2015,2.1,19.5,11.3,7.9,86.09,,19.8,26.7,196.12,-19.1,0.3,62.5,,5.5,4,1017.2,"Light Snow",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",01/04/2015,-16.4,0.2,-10.6,-18.4,67.4,,25.1,43.6,306.12,-45.1,0.1,8.33,,7.6,2.4,1024.6,"Light Snow",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",01/05/2015,-20.7,0.5,-11.2,-19.4,65.89,,22.2,40.3,284.67,-45.2,0,0,,9.9,0,1026.3,"Light Snow",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",01/06/2015,-8.9,2.5,-1.2,-9.9,65.76,,33.1,42.7,313.08,-37.1,0,0,,9.6,3.9,1021.1,"Light Snow",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",01/07/2015,-17.6,-3.4,-10.5,-20.4,60.76,,27.8,37.7,305.25,-46.8,0,0,,9.9,0.1,1033.6,"",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",01/08/2015,-2.9,8.8,3.2,-3.5,73.2,,23.3,36.4,301.96,-21.6,0,16.67,,8.1,5.4,1011.2,"Light Snow",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",01/09/2015,-8,0.8,-3.9,-13.8,61.65,,24.4,37.6,296.25,-30.3,0,0,,8.7,1.9,1015.7,"Smoke Or Haze",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",01/10/2015,-5,7.6,-0.9,-10.1,64.67,,15,30,289.04,-23.4,0,0,,9.9,1.5,1017.9,"",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",01/11/2015,-14.1,4.1,-4.1,-12,68.72,,14.1,25.3,281.29,-33.1,0,0,,9.9,0.5,1024.1,"",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",01/12/2015,-10.3,0.7,-4.4,-14.1,62.86,,13.4,25.3,275.79,-29.6,0,0,,9.9,1.3,1038.7,"",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",01/13/2015,-16.8,18.7,1.2,-6.7,69.16,,13.3,26.4,261.71,-32.3,0,0,,9.9,1.1,1033.9,"",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",01/14/2015,12.2,21,16.9,10.1,74.64,,12.1,20.8,245.88,2.4,0,8.33,,8.2,5.4,1019.4,"Light Snow",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",01/15/2015,7.7,29.5,22,14.5,73,,35.6,43.6,298.21,-8.9,0,4.17,,7.8,5.1,1008.4,"Light Snow",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",01/16/2015,-8.7,19.5,2.8,-3.8,73.52,,16.3,31.1,197.96,-26,0,4.17,,10.3,1.3,1022.3,"Light Snow",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",01/17/2015,19.5,29.9,26.3,23.6,89.83,,13.3,21.9,216.38,6.7,0.1,33.33,,6.1,7.1,999.6,"Light Snow, Mist, Freezing Drizzle/Freezing Rain, Snow",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",01/18/2015,4.6,26.5,18.9,12.9,77.02,,18.1,28.6,157.08,-11.4,0,0,,9.9,4,1007.9,"Light Snow",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",01/19/2015,-2.7,13.5,4.9,1.1,83.97,,12.7,21.9,146.29,-18.7,0,8.33,,8.9,2.7,1020,"Light Snow",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",01/20/2015,-3.1,23.8,11.7,7,81.36,,8.1,,252.62,-15.8,0,0,,9.3,3.8,1018.1,"Light Snow",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",01/21/2015,17,24.2,22.6,17.4,80.16,,18,24.2,271.38,1,0,0,,9.9,5.4,1020.7,"Light Snow",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",01/22/2015,0.1,30.9,15.8,9.2,75.12,,19.2,30,254.96,-10.9,0,0,,9.9,4.3,1022.4,"Light Snow",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",01/23/2015,29.7,38.1,34.6,28.5,78.45,,14.3,21.9,265.5,21,0,8.33,,9.9,5.4,1005.3,"",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",01/24/2015,4.8,36.2,21.4,13.5,71.48,,19.2,26.7,172.5,-10.4,0,0,,9.9,2.1,1006.1,"",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",01/25/2015,-6.6,10.8,2.9,-5,69.7,,9.2,19.5,182.83,-19.5,0,0,,9.9,2.1,1020.2,"",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",01/26/2015,8.9,25,19.1,16.9,90.76,,10.3,20.8,174.29,1.7,0.1,45.83,,5.8,5.4,1011.2,"Light Snow",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",01/27/2015,21.7,28.4,24.8,22,89.19,,7.7,,245.58,15.6,0,12.5,,9.9,5.4,1020.8,"",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",01/28/2015,24.3,30.1,28,25.7,91.06,,14.3,19.5,156.12,17.5,0,8.33,,9.6,5.1,1016.4,"Light Snow",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",01/29/2015,4.9,29.8,19.2,13.3,77.66,,26.7,36.4,329.79,-12.2,0,4.17,,8.7,3,1018.2,"Mist, Light Snow",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",01/30/2015,-8.2,12.4,4.4,-3.5,70.05,,11.7,23,263.67,-25.6,0,4.17,,9.9,2.7,1030.8,"",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",01/31/2015,-5.7,14,8.2,-0.5,68.21,,19.1,24.8,266.04,-22.5,0,8.33,,7.6,2.7,1025.6,"Light Snow",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",02/01/2015,-14.6,4.2,-6.3,-16.1,62.3,,10,20.8,232.25,-30.3,0,0,,9.9,0,1031.6,"",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",02/02/2015,-14.5,10.4,-2.3,-11.8,64.1,,11.7,19.5,278.12,-32.3,0,0,,9.9,2.3,1019.3,"",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",02/03/2015,-5.4,9.3,1.2,-7.1,68.36,,14.4,20.8,292.08,-23.2,0,0,,9.9,0.5,1016.8,"",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",02/04/2015,-15,0.9,-5.7,-15.2,63.53,,20.9,29.4,303.38,-32.7,0,4.17,,9.9,1.1,1022.2,"",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",02/05/2015,-12.6,18.7,2.1,-6,68.1,,15,30,254.29,-26.8,0,0,,8.1,2.4,1018.7,"Light Snow",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",02/06/2015,4.3,12.9,8.7,-1.5,62.76,,17.5,26.4,266,-11,0,0,,9.9,3.9,1018.4,"",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",02/07/2015,4.5,6.2,5.2,1,82.67,,25.5,33,76.29,-17.4,0.2,50,,4.2,4,1015.7,"Light Snow",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",02/08/2015,-2.5,7.6,1.6,-4.9,73.82,,23.3,33.3,86.71,-21.2,0,8.33,,8,2.7,1021.3,"Light Snow",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",02/09/2015,-6.7,18.5,5.6,-1.5,71.98,,9.4,,256.79,-22.5,0,0,,9.9,2.8,1027.1,"",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",02/10/2015,12.3,24,16,11.9,83.91,,22.5,31.1,86.88,-5.6,0.4,41.67,,5.4,5.4,1023.3,"Light Snow",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",02/11/2015,-2,22.6,11.1,6,79.64,,29.4,39.2,266.46,-22.8,0.1,20.83,,7.8,5.1,1017.1,"Light Snow",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",02/12/2015,-16.2,2.2,-6.6,-15.7,64.22,,19.2,32.2,256.25,-35.6,0,0,,9.9,0,1033.5,"",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",02/13/2015,-7.8,12.4,2.8,-4.1,72.64,,20.3,31.1,296.21,-16.7,0,8.33,,7.3,5.1,1015.6,"Light Snow",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",02/14/2015,-12.6,2.7,-5.6,-16.3,59.25,,26,34.7,232.79,-36.6,0,4.17,,7,2.7,1028.6,"Light Snow, Smoke Or Haze",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",02/15/2015,-27.8,-2.4,-13.2,-20.8,68.02,,10,19.5,188.79,-43.3,0,4.17,,9.9,2.5,1037.8,"",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",02/16/2015,-16,10.8,-2.9,-8.8,75.42,,11.1,,290.04,-31.8,0,0,,8.4,4.3,1020.5,"Light Snow",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",02/17/2015,-9.8,3.9,-2.6,-10.4,69.47,,15.7,26.4,304.75,-28.1,0,0,,9.9,2.5,1012.7,"",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",02/18/2015,-18,-5.2,-11.4,-21.7,60.07,,17.8,25.3,308.25,-41.3,0,0,,9.9,1.3,1019.6,"",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",02/19/2015,-22.5,0.3,-11.6,-20.2,65.15,,10.5,19.5,260.25,-41.6,0,0,,9.9,0,1026.9,"",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",02/20/2015,-17.2,10.2,-2.9,-7.4,80.65,,8.1,,208.12,-28.6,0.1,25,,7.5,4.3,1014.2,"Light Snow",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",02/21/2015,-6.5,9.9,2.4,-4.9,71.94,,13.9,21.9,307.29,-27,0,0,,9.9,1.6,1017,"Light Snow",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",02/22/2015,-20.6,-4,-10.7,-21.5,58.16,,18,26.4,293.88,-40.8,0,0,,9.9,1.1,1033.5,"Light Snow",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",02/23/2015,-18.1,13.2,-2.7,-12.3,63.09,,15.1,30,248.04,-34.8,0,0,,9.9,1.3,1025.5,"",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",02/24/2015,-3.1,19.6,10.2,2.6,71.21,,28.4,40.9,304.38,-20.6,0,12.5,,7,2.8,1001.3,"Light Snow, Smoke Or Haze",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",02/25/2015,-12.9,5.2,-4,-15.7,56.7,,13.9,23,318.83,-33.5,0,0,,9.9,0,1018.7,"",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",02/26/2015,-18.1,9.2,-4.2,-15.2,59.57,,14.5,23,287.67,-37.4,0,0,,9.9,0,1028.4,"",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",02/27/2015,-13.4,21.1,5.7,-9.5,51.4,,12.7,21.9,268.67,-30.8,0,0,,9.9,0.5,1028.8,"",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",02/28/2015,-8,20.5,10.1,-1.7,58.46,,13.9,31.1,254.54,-21.1,0,0,,9.9,1.1,1028.9,"",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",03/01/2015,11.8,26,18.7,7.2,61.48,,18.5,25.3,270.42,1.9,0,0,,9.9,2.4,1019.2,"",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",03/02/2015,4.8,23.4,14.9,3.7,61.84,,15.7,30,247.79,-13.4,0,0,,9.9,0,1025.2,"",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",03/03/2015,5.8,28.1,18.7,13.1,79.04,,27.2,36.9,235.17,-12.2,0.2,33.33,,7.8,3.8,1005.4,"Light Snow",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",03/04/2015,-6.2,6.5,-0.1,-12.3,55.66,,23.7,32.4,306.88,-30,0,0,,7.4,2.4,1016.8,"Light Snow",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",03/05/2015,-19.3,15.5,-0.7,-13.2,57.14,,11.7,23,268.83,-39.8,0,0,,9.9,0,1027.3,"",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",03/06/2015,-1.3,29.6,16.1,3.1,56.98,,17.5,26.4,289.58,-13.7,0,0,,9.9,2.4,1014.4,"",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",03/07/2015,13,27.7,23.2,14.6,70.28,,19.7,27.7,220.38,9.9,0,8.33,,9.9,4.3,1013.5,"Light Snow",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",03/08/2015,6.1,32.5,19.4,13.2,77.56,,16.9,25.3,248.96,-1.3,0.1,26.09,,7.8,2.7,1014.6,"Light Snow",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",03/09/2015,20.2,36.5,28.1,22.6,79.85,,11.9,,186.33,13.1,0.1,8.33,,9.9,4.8,1012.5,"Light Rain",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
"thunder bay,Michigan",03/10/2015,21.1,48.7,34.6,27,76.87,,27.2,39.1,246.75,14.7,0,0,,8.9,3.5,1006.1,"Mist",48.4614,-89.21069,"Michigan Ave, Thunder Bay, ON P7A, Canada","",""
