Date,Date,Acadia National Park,Arches National Park,Badlands National Park,Big Bend National Park,Biscayne National Park,Black Canyon of the Gunnison National Park,Bryce Canyon National Park,Canyonlands National Park,Capitol Reef National Park,Carlsbad Caverns National Park,Channel Islands National Park,Congaree National Park,Cuyahoga Valley National Park,Death Valley National Park,Dry Tortugas National Park,Everglades,Glacier National Park,Grand Canyon National Park,Grand Teton,Great Basin National Park,Great Sand Dunes National Park and Preserve,Great Smoky Mountains National Park,Guadalupe Peak,Haleakalā,Hawaiʻi Volcanoes National Park,Hot Springs National Park,Indiana Dunes National Park,Joshua Tree National Park,Kings Canyon National Park,Lassen Volcanic National Park,Mammoth Cave,Mesa Verde National Park,Mount Rainier National Park,Museum at the Gateway Arch,Olympic National Park,Petrified Forest National Park,Pinnacles National Park,Redwood National and State Parks,Rocky Mountain National Park,Saguaro National Park,Sequoia & Kings Canyon National Parks,Shenandoah National Park,Theodore Roosevelt National Park,Voyageurs National Park,White Sands National Park,Wind Cave National Park,Yosemite National Park,Zion National Park
1,2012,,,,,4.0,,,,,,,4.666666666666667,4.5,,,3.0,,,,,,5.0,,,7.0,,,,,,,,4.0,2.5,,,,,3.0,3.897970779220779,,,,,,,,
1,2013,,,,,,,,,,,5.0,2.5555555555555554,4.0,,,,,,,6.0,,5.0,,,6.0,,,3.0,,,,,,3.111111111111111,,,,,3.3333333333333335,4.280735930735931,,,,,,,,
1,2014,,,,,3.0,,,,,,3.0,,3.0,,,2.625,,,5.0,,,4.0,,,6.0,,,,,,,,,1.0,6.0,,,6.0,5.0,3.902500217086574,,,,,,,,
1,2015,,6.0,,,3.0,,,6.0,,,,,,,,3.0,,,,,,,,4.0,5.0,5.55,,,,,,,,,,,,,6.0,4.229166666666666,,,,,,,,
1,2016,,,,,,,,,,,,,3.0,,,3.0,,,,,,,,,,,,,,,,5.0,,,,,,,2.0,4.625,,,,,,,,
1,2017,,,,,,4.0,,,,,,,3.0,,,,,,,,2.0,,,,,,,,,,,,,4.0,,,,,5.0,3.690205627705627,,,,,,,,
1,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6666666666666665,,3.3589743589743595,,,,,,,,
2,2008,6.0,5.0,,,5.0,7.0,,5.0,,,4.0,,1.6565656565656566,6.0,,,,,,6.0,,,,4.0,3.0,,,5.0,,,,5.0,3.0,3.583333333333333,,,,,4.0,3.890757763975156,,5.0,,,,,,7.0
2,2011,,,,,3.266666666666667,,,,,,1.0,1.0,3.25,,,3.1666666666666665,,,,,,5.0,,,1.0,,3.5,,,,,,,2.914285714285714,,,,,4.5,3.915706503412012,3.8000000000000003,,,,,,,
2,2012,,,,,2.5,,,,,,,3.8,3.5,6.0,,2.75,,,,,,6.0,,3.25,,,,2.5,,,,,,3.0095238095238095,,3.0,,,,3.576866279238666,,2.0,,,,,,
2,2013,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,3.35,,,,,,3.5789080459770117,,4.5,,,,,,
2,2014,,,,7.0,,,,,,,,2.0,,,,3.5,,,,,,5.0,,,,,3.0,,,,,,,3.5,,,,,,4.466666666666667,,4.611111111111111,,,,,,
2,2015,,,,,3.2,,,,,,,2.0,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,3.2692827657378745,,,,,,,,
2,2016,,,,,1.0,,,,,,,,3.75,,,1.0,,,,,,3.875,,,,,4.0,,5.0,,,5.0,,1.0,,,,,3.1013434321096858,5.0,,,,,,,,
2,2017,,,,,4.0,,,,,,,5.0,3.416666666666667,,,3.5,,,,,,,,,,,6.0,,,,,,,3.0,,,,,3.6186321195144724,3.674242424242424,,,,,,,,
2,2018,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.30801282051282,2.5,,1.5,,,,,,
3,2006,3.8518518518518516,,,,2.0,,,,,,,3.7899621212121213,4.0,,,2.0,,,,,,,,,,,3.0,2.5,,,,7.0,,3.4583333333333335,,,,5.0,3.638888888888889,4.2638343153353295,4.0,4.0,,,,,,3.0
3,2007,6.25,,,7.0,3.0,,7.0,,,3.0,,3.5,3.0517460317460317,5.5,,3.0,,,,,6.428571428571429,,,5.0,5.6,,4.25,7.0,,,4.0,6.0,,2.8075980392156863,5.0,,,,5.1,4.351869119806882,3.0,3.94,,,3.0,5.0,,
3,2008,6.166666666666667,3.3333333333333335,,,,6.0,,3.0,,,,4.0,1.8358585858585859,5.0,,3.0,,6.0,7.0,,,4.9,,6.0,,,,,4.333333333333333,,,,,3.0,,,,,4.04,3.7890793800867875,4.333333333333333,4.5,,,,,5.0,
3,2009,7.0,6.0,,,3.0,7.0,2.0,,,,3.0,1.0,3.7452380952380957,6.0,,4.583333333333334,,5.0,,,5.0,3.8666666666666663,,5.0,6.5,,3.8666666666666667,5.75,,,3.4166666666666665,,,3.4915674603174605,4.0,,,4.5,3.8,4.239858630648104,,3.8814814814814813,,,4.0,,,3.0
3,2010,5.328042328042328,,,,3.138888888888889,5.0,5.0,,,2.0,4.0,3.5,2.4484848484848487,6.0,,2.8333333333333335,,6.0,5.0,,5.166666666666667,3.0,4.5,7.0,6.0,5.0,2.6,6.0,,,,5.0,3.6666666666666665,3.2212121212121216,6.0,7.0,4.0,3.0,3.986607142857143,4.0020680577064445,,6.0,,,3.5,,,3.0
3,2011,,,,,3.0,,,6.0,,,4.0,,2.641609143657463,,,2.388888888888889,,,,,,,,6.0,,,4.333333333333333,3.0,4.5,,2.0,5.0,3.0,2.9166666666666665,,,,,3.9285714285714284,3.3753198501641504,2.777777777777778,4.0,,,,,,
3,2012,,,,,,,,,,,,2.5,3.5,,,2.0,,,,,,3.5,,5.0,,,,,,,,,,3.5,,,,,3.2962962962962963,3.6343165844915846,,5.0,,,,,,
3,2013,4.777777777777778,,,,4.5,5.0,,,,,,1.0,2.2692708333333336,,,4.5,,7.0,,,,5.0,,6.0,,6.0,,,,,,,,3.6296296296296298,,,,,4.5,3.4373811300688772,,,,,,,5.190476190476191,
3,2014,,,,,,,,4.5,,,,,3.6666666666666665,4.0,,2.0,,,,,,,,3.0,,,,5.0,,,4.0,,,4.0,,,5.0,,2.0,3.476870231449873,,,,,6.0,,,
3,2015,,,,,2.75,6.5,,,,,,,4.0,,,2.75,,,6.0,,,,,,,,,,,,,,,3.0,,,,,1.0,3.7094017094017095,,,,,,,,
3,2016,,,,,2.0,,,,,,,,2.0833333333333335,,,2.0,,,,,,,,,,,,,,,,,,,,,,,3.061664438502674,3.0,,,,,,,,
3,2017,,5.0,,,,,,5.0,,,,,2.4444444444444446,,6.0,,,,,,,,,2.0,,,,,,,,,,,,,,,2.3333333333333335,4.0,,,,,,,,
3,2018,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.5,5.0,,,,,,,,
4,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,
4,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,
4,2011,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,5.0,,,,,,,,3.0666666666666664,,,5.0,,4.0,2.9353563218390804,,5.0,,,,,,
4,2012,,,,,,,,,,,,2.6666666666666665,2.9049386789858658,,,,,,,,,6.0,,,,,,,,,,,2.0,3.5,,,,,5.0,3.4488687782805436,5.0,3.0,,,,,,
4,2013,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,6.0,,,,7.0,,,,,,2.642857142857143,,,,,2.4285714285714284,2.993751404716514,,,,,,,,
4,2014,,3.0,,,,,,,,,,,4.0,,,3.272727272727273,,6.0,,,,,,,,,,,,,4.0,,,,,,,,,3.3452451510428016,,,,,,,,
